"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2024","64.45","64.52","64.69","64.45","0.00K","0.41%"
"09/06/2024","64.19","64.56","65.58","64.19","0.62K","0.08%"
"09/05/2024","64.14","64.25","64.62","63.87","0.69K","-1.10%"
"09/04/2024","64.86","66.13","66.13","64.78","0.17K","-1.59%"
"09/03/2024","65.90","67.00","67.00","66.00","0.45K","-3.24%"
"09/02/2024","68.11","68.11","68.11","68.11","","0.88%"
"08/30/2024","67.51","68.50","69.24","68.00","0.96K","-1.65%"
"08/29/2024","68.65","68.65","68.65","68.65","","0.45%"
"08/28/2024","68.35","70.00","70.00","68.00","0.14K","-1.04%"
"08/27/2024","69.06","68.05","69.51","68.05","2.33K","0.33%"
"08/23/2024","68.83","68.83","68.83","68.83","","-0.26%"
"08/22/2024","69.01","69.08","69.08","68.90","0.23K","-1.15%"
"08/21/2024","69.82","70.61","70.61","70.01","1.28K","-0.82%"
"08/20/2024","70.39","70.50","71.69","70.50","0.50K","0.17%"
"08/19/2024","70.28","69.21","71.00","69.21","1.27K","0.73%"
"08/16/2024","69.76","69.34","69.73","69.32","0.05K","0.95%"
"08/15/2024","69.11","68.82","69.02","68.22","0.42K","0.15%"
"08/14/2024","69.00","69.61","69.72","69.50","0.36K","0.25%"
"08/13/2024","68.83","68.83","70.00","68.83","0.42K","-1.45%"
"08/12/2024","69.85","66.59","71.00","66.59","0.93K","3.54%"
"08/09/2024","67.46","68.60","68.98","67.55","1.41K","-1.24%"
"08/08/2024","68.30","68.15","68.55","67.27","0.12K","-0.15%"
"08/07/2024","68.40","67.16","68.75","67.16","0.94K","1.63%"
"08/06/2024","67.31","66.65","67.46","66.65","0.09K","1.69%"
"08/05/2024","66.18","65.92","66.17","65.44","1.40K","-2.17%"
"08/02/2024","67.65","68.40","68.46","67.00","1.66K","-1.05%"
"08/01/2024","68.38","66.48","68.94","66.48","0.75K","2.56%"
"07/31/2024","66.67","66.50","66.75","65.60","0.93K","1.48%"
"07/30/2024","65.70","65.20","65.60","64.70","0.34K","-0.38%"
"07/29/2024","65.95","65.50","66.10","65.47","0.53K","1.12%"
"07/26/2024","65.22","64.87","65.47","64.87","0.01K","1.55%"
"07/25/2024","64.22","65.24","65.28","64.50","0.36K","-2.90%"
"07/24/2024","66.14","64.15","64.54","63.77","1.61K","4.96%"
"07/23/2024","63.01","62.38","63.31","62.38","0.25K","1.47%"
"07/22/2024","62.10","63.94","63.95","61.90","5.98K","-2.37%"
"07/19/2024","63.61","64.00","64.00","62.87","0.74K","-0.28%"
"07/18/2024","63.79","63.85","64.00","63.60","0.27K","-0.48%"
"07/17/2024","64.10","66.06","66.06","63.95","0.12K","-1.08%"
"07/16/2024","64.80","65.00","65.00","64.80","0.25K","-0.10%"
"07/15/2024","64.86","66.90","66.90","64.75","0.14K","-2.68%"
"07/12/2024","66.65","66.02","66.02","65.21","0.04K","1.59%"
"07/11/2024","65.61","65.48","65.48","65.46","0.15K","0.07%"
"07/10/2024","65.56","66.28","66.28","66.00","0.22K","-0.13%"
"07/09/2024","65.64","68.14","65.64","65.64","","-0.65%"
"07/08/2024","66.07","68.14","68.14","68.01","0.01K","-1.61%"
"07/05/2024","67.15","68.18","68.18","67.47","0.07K","-0.29%"
"07/04/2024","67.35","67.35","67.35","67.35","","-0.49%"
"07/03/2024","67.68","67.35","68.60","67.35","0.16K","-0.11%"
"07/02/2024","67.75","65.93","66.32","64.75","3.47K","3.94%"
"07/01/2024","65.18","65.27","65.97","65.27","0.04K","0.96%"
"06/28/2024","64.57","63.48","65.35","63.15","0.23K","0.79%"
"06/27/2024","64.06","64.00","64.00","64.00","0.10K","-0.77%"
"06/26/2024","64.56","65.25","65.32","64.20","0.08K","-0.78%"
"06/25/2024","65.07","64.00","65.29","64.00","0.53K","0.85%"
"06/24/2024","64.51","65.24","65.24","64.29","0.33K","-1.16%"
"06/21/2024","65.27","66.60","66.60","65.48","2.90K","-1.46%"
"06/20/2024","66.24","67.63","67.63","66.21","0.06K","-1.47%"
"06/19/2024","67.22","65.34","65.34","65.34","0.01K","2.81%"
"06/18/2024","65.39","65.40","66.12","63.90","1.01K","0.07%"
"06/17/2024","65.34","66.38","66.38","64.91","59.57K","-0.60%"
"06/14/2024","65.74","67.50","67.50","65.51","0.49K","-3.49%"
"06/13/2024","68.11","68.31","68.98","67.73","0.47K","0.14%"
"06/12/2024","68.02","66.63","68.56","66.63","0.37K","0.86%"
"06/11/2024","67.44","67.44","68.21","67.44","1.18K","-0.95%"
"06/10/2024","68.08","68.00","68.00","66.50","2.76K","-0.72%"
"06/07/2024","68.58","69.00","69.00","67.97","0.37K","-0.19%"
"06/06/2024","68.71","68.70","69.42","68.16","0.05K","-0.23%"
"06/05/2024","68.87","69.00","69.00","68.04","0.13K","-1.18%"
"06/04/2024","69.69","70.04","71.64","69.09","2.88K","-1.74%"
"06/03/2024","70.93","71.73","74.00","71.71","0.29K","0.33%"
"05/31/2024","70.69","71.09","72.52","71.09","0.13K","-1.98%"
"05/30/2024","72.13","71.16","71.84","70.73","0.26K","1.82%"
"05/29/2024","70.83","71.86","72.28","69.71","0.23K","-1.03%"
"05/28/2024","71.57","73.26","73.26","71.68","0.20K","-0.96%"
"05/24/2024","72.26","72.57","72.69","70.98","0.55K","-0.46%"
"05/23/2024","72.60","72.33","74.30","72.33","0.71K","-0.43%"
"05/22/2024","72.92","73.50","74.02","71.78","8.32K","0.16%"
"05/21/2024","72.79","69.88","73.00","69.88","1.45K","2.73%"
"05/20/2024","70.86","68.69","71.23","68.69","0.61K","5.42%"
"05/17/2024","67.22","68.00","68.00","67.00","0.75K","0.21%"
"05/16/2024","67.08","66.58","66.89","66.33","0.07K","0.93%"
"05/15/2024","66.46","68.29","68.29","67.05","1.36K","-1.09%"
"05/14/2024","67.19","67.00","68.36","66.00","2.17K","0.55%"
"05/13/2024","66.82","67.70","67.70","66.50","0.24K","-2.06%"
"05/10/2024","68.23","70.43","72.17","69.50","0.13K","-2.83%"
"05/09/2024","70.21","69.45","70.49","69.45","0.58K","2.27%"
