Open,Close,High,Low,Volume,Date
0,108.3,0,0,,12/29/23
0,117.25,0,0,,12/28/23
118.95,117.5,118.95,118,,12/27/23
0,113.5,0,0,,12/26/23
117,116,117,117,,12/22/23
0,115.75,0,0,,12/21/23
116,115.95,116,116,,12/20/23
0,115.9,0,0,,12/19/23
0,117.2,0,0,,12/18/23
0,117,0,0,,12/15/23
118.9,117.75,118.9,118.9,,12/14/23
117.25,117.75,117.75,117.25,,12/13/23
0,117.8,0,0,,12/12/23
120.5,121.95,122,120.5,,12/11/23
123,122.9,126,122.6,,12/08/23
122,121.75,122,121.85,,12/07/23
120.5,120.75,122,120,,12/06/23
118.5,117.95,118.5,118.1,,12/05/23
119,118.9,119,118.6,,12/04/23
120,120.4,120,119,,12/01/23
116.5,118.9,116.5,116.5,,11/30/23
114.25,114.4,115,114.25,,11/29/23
115.5,114.85,115.6,114.05,,11/28/23
118.1,116.7,118.1,116.85,,11/27/23
0,119.9,0,0,,11/24/23
123.3,123.65,123.3,123.3,,11/23/23
122.5,122.85,122.5,122.5,,11/22/23
0,122.4,0,0,,11/21/23
121.5,122.5,121.5,121.5,,11/20/23
121.7,120.9,122,121.7,,11/17/23
0,122.7,0,0,,11/16/23
0,123.4,0,0,,11/15/23
0,124.45,0,0,,11/14/23
123.5,124.7,124.6,123,,11/13/23
0,124.7,0,0,,11/10/23
127,126.55,127,127,,11/09/23
123,125.1,123.5,122.5,,11/08/23
121,121,121.75,121,,11/07/23
124,120.25,124.5,121,,11/06/23
125.1,124.55,125.1,125.1,,11/03/23
123.5,124.1,124,123,,11/02/23
123.65,122.5,123.65,120,,11/01/23
123.75,123.5,124.5,122.65,,10/31/23
133.4,128.6,133.4,127.55,,10/30/23
0,130.05,0,0,,10/27/23
135.5,136,135.75,135.5,,10/26/23
135.5,135.8,135.5,135.5,,10/25/23
0,137.15,0,0,,10/24/23
0,137.25,0,0,,10/23/23
0,138,0,0,,10/20/23
137,137.5,137,137,,10/19/23
138.5,138.15,138.5,138.5,,10/18/23
140,138.5,140,140,,10/17/23
0,138.5,0,0,,10/16/23
135,138.4,136,135,,10/13/23
132.5,134.5,134.25,132.5,,10/12/23
130.5,130.25,130.5,130,,10/11/23
129,130.25,130.5,129,,10/10/23
126,126.5,127,126,,10/09/23
123,122.8,123.25,122.5,,10/06/23
118.75,119.5,120.5,118.75,,10/05/23
0,119.1,0,0,,10/04/23
123.5,120.8,123.5,121.8,,10/03/23
127.45,125.65,127.45,124.25,,10/02/23
0,128.05,0,0,,09/29/23
0,123,0,0,,09/28/23
0,123.15,0,0,,09/27/23
124,124,124,124,,09/26/23
0,122.55,0,0,,09/25/23
122.1,122.25,122.1,122.1,,09/22/23
0,122.25,0,0,,09/21/23
0,122.5,0,0,,09/20/23
0,122.5,0,0,,09/19/23
122,122.5,122,122,,09/18/23
0,122.25,0,0,,09/15/23
121,121.35,121,121,,09/14/23
0,120.85,0,0,,09/13/23
118.85,118.85,118.85,118.85,,09/12/23
0,117.2,0,0,,09/11/23
116.75,116.85,116.75,116.75,,09/08/23
116.5,116.65,116.5,116.5,,09/07/23
117.5,116.5,117.5,116.5,,09/06/23
115,119.35,116,115,,09/05/23
0,117.3,0,0,,09/04/23
117,116.9,117,117,,09/01/23
121,118.75,121,118.5,,08/31/23
122,122.25,122.5,121,,08/30/23
125,123.1,125,122.75,,08/29/23
0,124.5,0,0,,08/28/23
0,122.7,0,0,,08/25/23
0,118.15,0,0,,08/24/23
0,118.25,0,0,,08/23/23
119,118.8,119,119,,08/22/23
0,118.5,0,0,,08/21/23
0,116.75,0,0,,08/18/23
0,116,0,0,,08/17/23
116.25,115.85,116.25,116.05,,08/16/23
0,116.75,0,0,,08/15/23
115.2,115.6,115.2,115.2,,08/14/23
116.5,116.5,117,116.5,,08/11/23
115.85,117.5,115.85,115.75,,08/10/23
118,115.85,118,116,,08/09/23
114,114.75,115,114,,08/08/23
110,112.25,112.5,110,,08/07/23
108.9,108.25,108.9,108.9,,08/04/23
106.25,108.5,108,106,,08/03/23
104,105.25,104,104,,08/02/23
106.45,104.2,106.45,104,,08/01/23
105.1,105.25,105.5,105,,07/31/23
0,106.5,0,0,,07/28/23
111,111,111,111,,07/27/23
0,111.25,0,0,,07/26/23
0,111.15,0,0,,07/25/23
0,111.05,0,0,,07/24/23
0,110.5,0,0,,07/21/23
0,109.75,0,0,,07/20/23
108.25,108,108.25,108.25,,07/19/23
107.5,108.95,109,107.5,,07/18/23
103.5,104,104,103.5,,07/17/23
105,104.15,105,105,,07/14/23
104.5,103.65,104.5,103.8,,07/13/23
107,104.05,107,104,,07/12/23
108,105.9,108,105.75,,07/11/23
114,110.95,114,111,,07/10/23
0,116.35,0,0,,07/07/23
119.5,117.25,119.5,117.5,,07/06/23
124,123.6,124,123.3,,07/05/23
121,123.3,121.25,121,,07/04/23
123,121.45,123,120.5,,07/03/23
0,124.65,0,0,,06/30/23
0,114.9,0,0,,06/29/23
0,115,0,0,,06/28/23
0,115,0,0,,06/27/23
0,115,0,0,,06/26/23
114.75,114.6,115,114.75,,06/23/23
0,115.15,0,0,,06/22/23
0,116.75,0,0,,06/21/23
0,117.2,0,0,,06/20/23
113.6,114.05,113.6,113.6,,06/19/23
113.25,115.05,113.9,113.25,,06/16/23
118.4,116.45,118.4,118.4,,06/15/23
117.25,116.4,117.5,117,,06/14/23
117.5,117.5,117.5,117.5,,06/13/23
114.75,114.65,114.75,114.75,,06/12/23
113.5,115.75,113.5,113.5,,06/09/23
109.5,112.9,109.5,109.5,,06/08/23
108,110,110,108,,06/07/23
107.25,106.65,107.25,106,,06/06/23
104,111,112,103,,06/05/23
100,100.85,101.55,99,,06/02/23
92,93.95,94,92,,06/01/23
97,95.5,97,95,,05/31/23
97.6,93,97.6,91.75,,05/30/23
0,98.95,0,0,,05/29/23
0,98.95,0,0,,05/26/23
0,118.65,0,0,,05/25/23
0,118.4,0,0,,05/24/23
0,119,0,0,,05/23/23
