stationId,name
05005,Uggerby
05015,Lendum
05031,Byrum
05035,Voerså Hede
05042,Møllegård Huse
05065,Mørkeskov
05070,Havnø
05075,Hannerup
05081,Gatten
05085,Aggersund
05089,Lild Strand
05095,Nørre Vorupør
05105,Erslev
05109,Junget
05135,Grønbæk
05140,Hald
05150,Hevringholm
05160,Sibirien
05165,Tranebjerg Øst
05185,Flensted
05199,Gludsted Plantage Nv
05202,Nørre Snede
05205,Vestbirk
05220,Juelsminde
05225,Hesselballe
05269,Blåhøj Kirkeby
05272,Brande
05276,Voulund Testfelt P
05277,Høgild
05290,Semb
05296,Trans
05300,Øby
05320,Skovlund
05329,Outrup
05343,Holsted
05345,Ribe Renseanlæg
05350,Bredebro
05355,Emmerlev Klev
05365,Kliplev
05375,Nørreløkke
05381,Rangstrup
05395,Hajstrup
05400,Båring
05406,Tørresø
05408,H. C. Andersen Airport
05435,Bøjden
05440,Ulbølle
05450,Søndenbro
05455,Rudkøbing
05529,Havnsø
05537,Mørkøv Syd
05545,Kollekolle
05575,Græsted
05880,Møllebjerggård
05889,Orup
05935,Køng
05945,Nørreby
05970,Rødbyhavn
05994,Østerlars
06019,Silstrup
06051,Vestervig
06096,Rømø/Juvre
06132,Tranebjerg Øst
06136,Tystofte
06186,Landbohøjskolen
06187,Københavns Toldbod
20000,Skagen Fyr
20030,Uggerby
20055,Nørre Lyngby N
20085,Lendum
20228,Voerså Hede
20279,Møllegård Huse
20315,Klarup
20400,Aggersund
20552,Års Syd
20600,Mørkeskov
20670,Havnø
21020,Lild Strand
21080,Nørre Vorupør
21120,Erslev
21160,Junget
21208,Skive Lufthavn
21368,Flyvestation Karup
22020,Hald
22080,Hevringsholm
22162,Sibirien
22189,Tirstrup
22410,Flensted
23100,Vestbirk
23133,Juelsminde
23160,Hesseballe
24043,Semb
24142,Øby
24171,Grønbjerg
24430,Høgild
24490,Blåhøj Kirkeby
25045,Outrup
25161,Oksvang Andrup
25270,Askov
25339,Ribe Renseanlæg
26210,Rangstrup
26340,Bredebro
26358,Emmerlev Klev
26450,Nørreløkke
27008,Byrum
27082,Tranebjerg Øst
28110,Båring
28385,Bøjden
28552,Søndenbro
28590,Rudkøbing
29020,Kollekolle
29194,Mørkøv Syd
29440,Tystofte
30075,Græsted
31040,Møllebjerggård
31185,Køng
31199,Orup
31400,Nakskov
31570,Rødbyhavn
32110,Vestermarie
34231,Mittarfik Kangerlussuaq
34234,Mittarfik Sisimiut
34270,Narsarsuaq
34310,Station Nord
34320,Danmarkshavn
34339,Ittoqqortoormiit
